Source,Title,Published,Author,Link,Summary,Published_Datetime
Ars Technica,The oceans just keep getting hotter,"Sun, 11 Jan 2026 12:00:50 +0000","Molly Taft, WIRED.com",https://arstechnica.com/science/2026/01/the-oceans-just-keep-getting-hotter/,"For the eighth year in a row, the world’s oceans absorbed a record-breaking amount of heat in 2025.",2026-01-11 12:00:50+00:00
Wired,Bluesound Pulse Cinema Review: A Pretty Sonos Alternative,"Sun, 11 Jan 2026 12:00:00 +0000",Chris Haslam,https://www.wired.com/review/bluesound-pulse-cinema/,"This is a promising stand-alone Dolby Atmos soundbar for music fans, but it still needs a few software tweaks.",2026-01-11 12:00:00+00:00
Wired,Sony A7V Review: The Best Overall Mirrorless Camera,"Sun, 11 Jan 2026 11:30:00 +0000",Scott Gilbertson,https://www.wired.com/review/sony-a7v-mirrorless-camera/,Sony’s latest full frame mirrorless is a hybrid powerhouse with features to impress both video and still photographers.,2026-01-11 11:30:00+00:00
Wired,Want to Stop Doomscrolling? You Might Need a Sleep Coach,"Sun, 11 Jan 2026 11:00:00 +0000",Elana Klein,https://www.wired.com/story/your-next-job-sleep-coach/,"Traditionally sleep coaches treat babies. But now more and more anxious, screen-attached grownups are the ones who need nursing.",2026-01-11 11:00:00+00:00
Wired,Best Side-Sleeper Mattresses 2026: Picked by a Sleep Science Coach,"Sun, 11 Jan 2026 10:36:00 +0000","Martin Cizmar, Julia Forbes",https://www.wired.com/gallery/best-mattress-for-side-sleeper/,"We’ve tested hundreds of the top hybrid, memory foam, and cooling mattresses to find the best combination of support and pressure relief.",2026-01-11 10:36:00+00:00
Wired,The Danger of Reducing America’s Venezuela Invasion to a 60-Second Video,"Sun, 11 Jan 2026 10:00:00 +0000",Anna Lagos,https://www.wired.com/story/the-danger-of-reducing-a-americas-venezuela-invasion-to-a-60-second-video/,"January 3 marked the return of US military intervention in Latin America. While the events unfolded between Caracas and Brooklyn, social networks had already fabricated their own reality.",2026-01-11 10:00:00+00:00
TechCrunch,"SpaceX gets FCC approval to launch 7,500 more Starlink satellites","Sat, 10 Jan 2026 22:11:21 +0000",Anthony Ha,https://techcrunch.com/2026/01/10/spacex-gets-fcc-approval-to-launch-7500-more-starlink-satellites/,"The Federal Communications Commission has given SpaceX approval to launch another 7,500 of its second generation Starlink satellites.",2026-01-10 22:11:21+00:00
TechCrunch,OpenAI is reportedly asking contractors to upload real work from past jobs,"Sat, 10 Jan 2026 21:18:29 +0000",Anthony Ha,https://techcrunch.com/2026/01/10/openai-is-reportedly-asking-contractors-to-upload-real-work-from-past-jobs/,"An intellectual property lawyer says OpenAI is ""putting itself at great risk"" with this approach.",2026-01-10 21:18:29+00:00
Wired,"Best Deals for New Year’s Resolutions: Sleep, Fitness, and More (2026)","Sat, 10 Jan 2026 12:34:00 +0000",Louryn Strampe,https://www.wired.com/story/new-years-resolution-deals-2026/,"Whether you’re hitting the gym or tracking your schedule, these discounts on WIRED-approved gear can help.",2026-01-10 12:34:00+00:00
Ars Technica,Conservative lawmakers want porn taxes. Critics say they’re unconstitutional.,"Sat, 10 Jan 2026 12:00:21 +0000","Jason Parham, WIRED.com",https://arstechnica.com/tech-policy/2026/01/conservative-lawmakers-want-porn-taxes-critics-say-theyre-unconstitutional/,Half the country has enacted age-verification laws to prevent minors from viewing porn.,2026-01-10 12:00:21+00:00
Wired,"The 50 Best Movies on Netflix, WIRED’s Picks (January 2026)","Sat, 10 Jan 2026 12:00:00 +0000","Matt Kamen, WIRED Staff",https://www.wired.com/story/netflix-best-movies-this-week/,"Good Night, and Good Luck: Live From Broadway, Frankenstein, and Wake Up Dead Man: A Knives Out Mystery are just a few of the movies you should watch on Netflix this month.",2026-01-10 12:00:00+00:00
Wired,Fujifilm X-E5 Mirrorless Camera Review: Compact Color Science in a Retro Package,"Sat, 10 Jan 2026 12:00:00 +0000",Scott Gilbertson,https://www.wired.com/review/fujifilm-xe5-mirrorless-camera/,"Did you want the TikTok-popular X100VI, but with an interchangeable lens? The Fujifilm X-E5 has you covered.",2026-01-10 12:00:00+00:00
Wired,"The 50 Best Shows on Netflix, WIRED's Picks (January 2026)","Sat, 10 Jan 2026 12:00:00 +0000","Matt Kamen, WIRED Staff",https://www.wired.com/story/netflix-best-shows-this-week/,"Stranger Things, Run Away, and His & Hers are just a few of the shows you need to watch on Netflix this month.",2026-01-10 12:00:00+00:00
Wired,Shokz OpenFit Pro Review: ANC on Open Earbuds?,"Sat, 10 Jan 2026 11:30:00 +0000",Simon Cohen,https://www.wired.com/review/shokz-openfit-pro/,True ANC on a set of open-ear earbuds would be a game changer. Shokz's OpenFit Pro give us a taste of what that might be like.,2026-01-10 11:30:00+00:00
Wired,ICE Can Now Spy on Every Phone in Your Neighborhood,"Sat, 10 Jan 2026 11:30:00 +0000","Lily Hay Newman, Matt Burgess",https://www.wired.com/story/security-news-this-week-ice-can-now-spy-on-every-phone-in-your-neighborhood/,"Plus: Iran shuts down its internet amid sweeping protests, an alleged scam boss gets extradited to China, and more.",2026-01-10 11:30:00+00:00
Wired,"12 Best Coffee Subscriptions (2026), Tested by Caffeine Hounds","Sat, 10 Jan 2026 11:01:00 +0000",Matthew Korfhage,https://www.wired.com/gallery/best-coffee-subscriptions/,"These services deliver freshly roasted, delicious coffee picks right to your door—each with its own twist.",2026-01-10 11:01:00+00:00
Wired,Where Are All the New Cars?,"Sat, 10 Jan 2026 10:30:00 +0000",Jeremy White,https://www.wired.com/story/where-were-all-the-new-cars-at-ces-2026/,"New cars were scant at CES this year, largely because the center of gravity for the auto world has moved—technologically and geographically—to China.",2026-01-10 10:30:00+00:00
Wired,Total Wireless Promo Codes & Deals: 50% Off Select Plans,"Sat, 10 Jan 2026 06:10:00 +0000",Molly Higgins,https://www.wired.com/story/total-wireless-promo-code/,"Find great deals for Total Wireless, like 50% off select plans, and enjoy big savings.",2026-01-10 06:10:00+00:00
Wired,KitchenAid Promo Code: 50% Off This Month,"Sat, 10 Jan 2026 06:00:00 +0000",Molly Higgins,https://www.wired.com/story/exclusive-kitchenaid-promo-code/,"Save on every purchase with top KitchenAid coupons from WIRED, including up to 50% off select countertop appliances.",2026-01-10 06:00:00+00:00
Wired,OpenAI Is Asking Contractors to Upload Work From Past Jobs to Evaluate the Performance of AI Agents,"Sat, 10 Jan 2026 01:11:25 +0000","Will Knight, Maxwell Zeff, Zoë Schiffer",https://www.wired.com/story/openai-contractor-upload-real-work-documents-ai-agents/,"To prepare AI agents for office work, the company is asking contractors to upload projects from past jobs, leaving it to them to strip out confidential and personally identifiable information.",2026-01-10 01:11:25+00:00
TechCrunch,I met a lot of weird robots at CES — here are the most memorable,"Sat, 10 Jan 2026 01:09:25 +0000",Lucas Ropek,https://techcrunch.com/2026/01/09/i-met-a-lot-of-weird-robots-at-ces-here-are-the-most-memorable/,"If the robots don't always give a totally accurate representation of where commercial deployment is at the moment, they do give visitors a peek at where their parent companies might be headed.",2026-01-10 01:09:25+00:00
Ars Technica,"SpaceX gets FCC permission to launch another 7,500 Starlink satellites","Sat, 10 Jan 2026 00:52:21 +0000",Jon Brodkin,https://arstechnica.com/tech-policy/2026/01/spacex-gets-fcc-permission-to-launch-another-7500-starlink-satellites/,"Including previous approvals, Starlink can now deploy 15,000 Gen2 satellites.",2026-01-10 00:52:21+00:00
TechCrunch,Google moonshot spinout SandboxAQ claims an ex-exec is attempting ‘extortion’,"Sat, 10 Jan 2026 00:37:59 +0000",Julie Bort,https://techcrunch.com/2026/01/09/google-moonshot-spinout-sandboxaq-claims-an-ex-exec-is-attempting-extortion/,"A former SandboxAQ executive filed a wrongful termination lawsuit filled with shocking allegations. The company is fighting back, hard.",2026-01-10 00:37:59+00:00
Wired,Grok Is Being Used to Mock and Strip Women in Hijabs and Saris,"Sat, 10 Jan 2026 00:23:08 +0000",Kat Tenbarge,https://www.wired.com/story/grok-is-being-used-to-mock-and-strip-women-in-hijabs-and-sarees/,A substantial number of AI images generated or edited with Grok are targeting women in religious and cultural clothing.,2026-01-10 00:23:08+00:00
Ars Technica,ESA considers righting the wrongs of Ariane 6 by turning it into a Franken-rocket,"Sat, 10 Jan 2026 00:06:30 +0000",Stephen Clark,https://arstechnica.com/space/2026/01/esa-considers-righting-the-wrongs-of-ariane-6-by-turning-it-into-a-franken-rocket/,ArianeGroup is still trying to catch up to where the bleeding edge of the launch industry was 15 years ago.,2026-01-10 00:06:30+00:00
TechCrunch,"CES 2026: Everything revealed, from Nvidia’s debuts to AMD’s new chips to Razer’s AI oddities","Fri, 09 Jan 2026 22:36:27 +0000",Morgan Little,https://techcrunch.com/2026/01/09/ces-2026-everything-revealed-from-nvidias-debuts-to-amds-new-chips-to-razers-ai-oddities/,"CES 2026 is in full swing in Las Vegas, with the show floor open to the public after a packed couple of days occupied by press conferences from the likes of Nvidia, Sony, and AMD and previews from Sunday’s Unveiled event.",2026-01-09 22:36:27+00:00
Ars Technica,Measles continues raging in South Carolina; 99 new cases since Tuesday,"Fri, 09 Jan 2026 22:34:06 +0000",Beth Mole,https://arstechnica.com/health/2026/01/measles-continues-raging-in-south-carolina-99-new-cases-since-tuesday/,"With so many exposures sites, officials can't figure out where people were infected.",2026-01-09 22:34:06+00:00
Wired,The Samsung Galaxy Watch Is Discounted on Amazon,"Fri, 09 Jan 2026 22:13:58 +0000",Brad Bourque,https://www.wired.com/story/samsung-galaxy-watch8-deal-126/,"The Samsung Galaxy Watch8 gets marked down across a variety of colors, sizes, and feature sets.",2026-01-09 22:13:58+00:00
Wired,"Solawave Wand Fans: Don't Miss This Buy One, Get One Free Sale","Fri, 09 Jan 2026 21:48:34 +0000",Boutayna Chokrane,https://www.wired.com/story/solawave-wand-fans-this-buy-one-get-one-free-deal-is-for-you/,"Double up on LED therapy, because sharing is caring.",2026-01-09 21:48:34+00:00
Wired,Meta Is Making a Big Bet on Nuclear With Oklo,"Fri, 09 Jan 2026 20:59:12 +0000",Alexander C. Kaufman,https://www.wired.com/story/meta-is-making-a-big-bet-on-nuclear-with-oklo/,"Meta will finance Oklo’s purchase of uranium for its reactors. It’s a massive vote of confidence for both the startup and nuclear power, but challenges remain.",2026-01-09 20:59:12+00:00
Ars Technica,Google: Don’t make “bite-sized” content for LLMs if you care about search rank,"Fri, 09 Jan 2026 20:27:34 +0000",Ryan Whitwam,https://arstechnica.com/google/2026/01/google-dont-make-bite-sized-content-for-llms-if-you-care-about-search-rank/,Google says creating for people rather than robots is the best long-term strategy.,2026-01-09 20:27:34+00:00
TechCrunch,"How the Sleepbuds maker, Ozlo, is building a platform for sleep data","Fri, 09 Jan 2026 19:36:04 +0000",Sarah Perez,https://techcrunch.com/2026/01/09/how-the-sleepbuds-maker-ozlo-is-building-a-platform-for-sleep-data/,"Ozlo Sleepbuds are going to have a big year, with new products, AI features, and more.",2026-01-09 19:36:04+00:00
Ars Technica,"Cloudflare defies Italy’s Piracy Shield, won’t block websites on 1.1.1.1 DNS","Fri, 09 Jan 2026 19:22:37 +0000",Jon Brodkin,https://arstechnica.com/tech-policy/2026/01/cloudflare-may-pull-servers-out-of-italy-over-order-that-it-block-pirate-sites/,Italy fines Cloudflare 14M euros for not blocking pirate sites on 1.1.1.1 DNS service.,2026-01-09 19:22:37+00:00
Ars Technica,US Black Hawk helicopter trespasses on private Montana ranch to grab elk antlers,"Fri, 09 Jan 2026 18:46:19 +0000",Nate Anderson,https://arstechnica.com/culture/2026/01/us-black-hawk-helicopter-trespasses-on-private-montana-ranch-to-grab-elk-antlers/,"Crazy, but that's how it goes.",2026-01-09 18:46:19+00:00
TechCrunch,Meta signs deals with three nuclear companies for 6-plus GW of power,"Fri, 09 Jan 2026 17:51:15 +0000",Tim De Chant,https://techcrunch.com/2026/01/09/meta-signs-deals-with-three-nuclear-companies-for-6-plus-gw-of-power/,"Two smaller companies, Oklo and TerraPower, along with Vistra, a large energy company, just signed agreements with Meta.",2026-01-09 17:51:15+00:00
Ars Technica,Is Orion’s heat shield really safe? New NASA chief conducts final review on eve of flight.,"Fri, 09 Jan 2026 17:17:41 +0000",Eric Berger,https://arstechnica.com/space/2026/01/nasa-chief-reviews-orion-heat-shield-expresses-full-confidence-in-it-for-artemis-ii/,"""That level of openness and transparency is exactly what should be expected of NASA.""",2026-01-09 17:17:41+00:00
Ars Technica,"These 60,000-year-old poison arrows are oldest yet found","Fri, 09 Jan 2026 16:49:51 +0000",Jennifer Ouellette,https://arstechnica.com/science/2026/01/these-60000-year-old-poison-arrows-are-oldest-yet-found/,Hunter-gatherers probably derived the poison from the milky bulb extract of a <em>Boophone disticha</em> plant.,2026-01-09 16:49:51+00:00
Ars Technica,X’s half-assed attempt to paywall Grok doesn’t block free image editing,"Fri, 09 Jan 2026 16:46:04 +0000",Ashley Belanger,https://arstechnica.com/tech-policy/2026/01/xs-half-assed-attempt-to-paywall-grok-doesnt-block-free-image-editing/,"Faced with a ban in the United Kingdom, X pushes flawed fix to CSAM problem.",2026-01-09 16:46:04+00:00
Wired,Silicon Valley Billionaires Panic Over California’s Proposed Wealth Tax,"Fri, 09 Jan 2026 16:00:00 +0000",Steven Levy,https://www.wired.com/story/backchannel-silicon-valley-billionaires-california-taxes/,Larry Page’s apparent Florida move highlights how seriously the ultra-rich are taking a one-time tax aimed at extreme wealth inequality.,2026-01-09 16:00:00+00:00
Ars Technica,Rocket Report: A new super-heavy launch site in California; 2025 year in review,"Fri, 09 Jan 2026 15:50:25 +0000",Stephen Clark,https://arstechnica.com/space/2026/01/rocket-report-spacex-and-china-led-the-way-in-2025-vandenberg-has-room-to-grow/,SpaceX opened its 2026 launch campaign with a mission for the Italian government.,2026-01-09 15:50:25+00:00
Wired,X Didn’t Fix Grok's ‘Undressing’ Problem. It Just Makes People Pay for It,"Fri, 09 Jan 2026 15:19:18 +0000",Matt Burgess,https://www.wired.com/story/x-didnt-fix-groks-undressing-problem-it-just-makes-people-pay-for-it/,X is allowing only “verified” users to create images with Grok. Experts say it represents the “monetization of abuse”—and anyone can still generate images on Grok’s app and website.,2026-01-09 15:19:18+00:00
Ars Technica,“Ungentrified” Craigslist may be the last real place on the Internet,"Fri, 09 Jan 2026 14:56:59 +0000","Jennifer Swann, wired.com",https://arstechnica.com/culture/2026/01/ungentrified-craigslist-may-be-the-last-real-place-on-the-internet/,"People still use Craigslist to find jobs, love, and even to cast creative projects.",2026-01-09 14:56:59+00:00
Ars Technica,General Motors writes down $6 billion as domestic EV sales plans change,"Fri, 09 Jan 2026 14:02:41 +0000",Jonathan M. Gitlin,https://arstechnica.com/cars/2026/01/fewer-american-evs-costs-gm-6-billion-even-as-its-chinese-sales-boom/,Canceled contracts and scaled-back product plans turn out to be costly.,2026-01-09 14:02:41+00:00
TechCrunch,X restricts Grok’s image generation to paying subscribers only after drawing the world’s ire,"Fri, 09 Jan 2026 13:59:24 +0000",Ram Iyer,https://techcrunch.com/2026/01/09/x-restricts-groks-image-generation-to-paying-subscribers-only-after-drawing-the-worlds-ire/,"Elon Musk's AI company has restricted Grok's controversial AI image-generation feature to only paying subscribers on X, after the tool invited heated criticism from across the world for letting users generate sexualized images of women and children.",2026-01-09 13:59:24+00:00
TechCrunch,The venture firm that ate Silicon Valley just raised another $15 billion,"Fri, 09 Jan 2026 13:00:00 +0000",Connie Loizos,https://techcrunch.com/2026/01/09/the-venture-firm-that-ate-silicon-valley/,"In a blog post published Friday morning, Ben Horowitz writes that ""as the American leader in Venture Capital, the fate of new technology in the United States rests partly on our shoulders."" It's the kind of statement certain to cause agita at rival firms.",2026-01-09 13:00:00+00:00
Wired,Conservative Lawmakers Want Porn Taxes. Critics Say They’re Unconstitutional,"Fri, 09 Jan 2026 12:00:00 +0000",Jason Parham,https://www.wired.com/story/conservative-lawmakers-want-porn-taxes-critics-say-theyre-unconstitutional/,"Alabama passed a 10 percent porn tax last year, as Utah and Pennsylvania eye similar bills. Half the country has enacted age-verification laws to prevent minors from viewing porn.",2026-01-09 12:00:00+00:00
Wired,‘Physical AI’ Is Coming for Your Car,"Fri, 09 Jan 2026 11:30:00 +0000",Aarian Marshall,https://www.wired.com/story/physical-ai-is-coming-for-your-car/,What the latest tech-marketing buzzword has to say about the future of automotive.,2026-01-09 11:30:00+00:00
Wired,Burtran Nano-Oxy Smart Air Purifier: Safe Sleep?,"Fri, 09 Jan 2026 11:02:00 +0000",Lisa Wood Shapiro,https://www.wired.com/review/burtran-nano-oxy-hepa-14-air-purifier/,This negative-oxygen-ion-generating purifier claims to create a “forestlike atmosphere” in your bedroom.,2026-01-09 11:02:00+00:00
Wired,Crispr Pioneer Launches Startup to Make Tailored Gene-Editing Treatments,"Fri, 09 Jan 2026 11:00:00 +0000",Emily Mullin,https://www.wired.com/story/crispr-pioneer-launches-startup-to-make-tailored-gene-editing-treatments/,"Aurora Therapeutics, cofounded by Nobel Prize–winning scientist Jennifer Doudna, plans to use gene editing and a new FDA regulatory pathway to commercialize treatments for rare diseases.",2026-01-09 11:00:00+00:00
TechCrunch,Anthropic adds Allianz to growing list of enterprise wins,"Fri, 09 Jan 2026 09:00:00 +0000",Rebecca Szkutak,https://techcrunch.com/2026/01/09/anthropic-adds-allianz-to-growing-list-of-enterprise-wins/,"Anthropic announces its first enterprise deal of 2026, which includes building agents for, and giving Claude code to, Allianz.",2026-01-09 09:00:00+00:00
Wired,The Oceans Just Keep Getting Hotter,"Fri, 09 Jan 2026 08:00:00 +0000",Molly Taft,https://www.wired.com/story/the-oceans-just-keep-getting-hotter/,"For the eighth year in a row, the world’s oceans absorbed a record-breaking amount of heat in 2025. It was equivalent to the energy it would take to boil 2 billion Olympic swimming pools.",2026-01-09 08:00:00+00:00
Wired,NZXT Discount Codes: 50% Off in January 2026,"Fri, 09 Jan 2026 06:30:00 +0000",Luke Larsen,https://www.wired.com/story/nzxt-discount-code/,"Save 50%, plus up to $250 with NZXT promo codes and discounts.",2026-01-09 06:30:00+00:00
Wired,Skullcandy Discount Codes and Deals: Up to 47% Off Top Products,"Fri, 09 Jan 2026 06:30:00 +0000",Parker Hall,https://www.wired.com/story/skullcandy-discount-code/,"Save on Skullcandy audio with 47% off Crusher Evo headphones, 36% off Crusher ANC 2 noise-canceling headphones, and more with top deals.",2026-01-09 06:30:00+00:00
Wired,AT&T Promo Codes and Bundle Deals: Save $50 in January,"Fri, 09 Jan 2026 06:20:00 +0000",Kat Merck,https://www.wired.com/story/att-promo-code/,"Whether you’re looking to upgrade your internet or get the latest phone, we’ve got you covered with our selection of AT&amp;T coupons and deals.",2026-01-09 06:20:00+00:00
Wired,$20 Chewy Promo Code | January 2026,"Fri, 09 Jan 2026 06:10:00 +0000",Molly Higgins,https://www.wired.com/story/chewy-promo-code/,"Explore Chewy coupon codes for $20 off $49 orders, 50% off pet food, and more winter 2026 discounts.",2026-01-09 06:10:00+00:00
Wired,NordVPN Coupons and Deals: 77% Off in January 2026,"Fri, 09 Jan 2026 06:10:00 +0000",Scott Gilbertson,https://www.wired.com/story/nordvpn-coupon/,Save up to 77% on 2-year plans and get 3 free months with our NordVPN discount codes.,2026-01-09 06:10:00+00:00
Wired,20% Squarespace Promo Codes | January 2026,"Fri, 09 Jan 2026 06:00:00 +0000",Molly Higgins,https://www.wired.com/story/squarespace-promo-code/,"Get 10% off your next website with exclusive Squarespace discount code for 2026, 50% off plans, and more top coupons.",2026-01-09 06:00:00+00:00
Ars Technica,NASA orders “controlled medical evacuation” from the International Space Station,"Fri, 09 Jan 2026 04:26:28 +0000",Stephen Clark,https://arstechnica.com/space/2026/01/in-a-first-nasa-orders-astronauts-home-after-unspecified-medical-issue/,"""The crew is highly trained, and they came to the aid of their colleague right away.""",2026-01-09 04:26:28+00:00
Wired,"ICE Agent Who Reportedly Shot Renee Good Was a Firearms Trainer, per Testimony","Fri, 09 Jan 2026 03:19:26 +0000","Matt Giles, Tim Marchman",https://www.wired.com/story/ice-agent-jonathan-ross-renee-good-shooting-firearms-trainer-testimony/,"Jonathan Ross told a federal court in December about his professional background, including “hundreds” of encounters with drivers during enforcement actions, according to testimony obtained by WIRED.",2026-01-09 03:19:26+00:00
Ars Technica,Michigan man learns the hard way that “catch a cheater” spyware apps aren’t legal,"Thu, 08 Jan 2026 22:02:31 +0000",Nate Anderson,https://arstechnica.com/security/2026/01/michigan-man-learns-the-hard-way-that-catch-a-cheater-spyware-apps-arent-legal/,"Spying doesn't become legal just because ""cheaters"" are the targets.",2026-01-08 22:02:31+00:00
Wired,Why a Chinese Robot Vacuum Company Spun Off Not One but Two EV Brands,"Thu, 08 Jan 2026 21:25:40 +0000",Zeyi Yang,https://www.wired.com/story/made-in-china-what-chinese-companies-showed-off-at-ces/,"The pivot doesn’t look out of place at CES, where Chinese electronics companies are increasingly applying their manufacturing prowess to new industries.",2026-01-08 21:25:40+00:00
Ars Technica,Wi-Fi advocates get win from FCC with vote to allow higher-power devices,"Thu, 08 Jan 2026 21:13:55 +0000",Jon Brodkin,https://arstechnica.com/tech-policy/2026/01/fcc-to-authorize-more-powerful-wireless-devices-in-6-ghz-wi-fi-band/,"FCC says new category of devices ""can operate outdoors and at higher power.""",2026-01-08 21:13:55+00:00
Ars Technica,High RAM prices mean record-setting profits for Samsung and other memory makers,"Thu, 08 Jan 2026 20:36:37 +0000",Andrew Cunningham,https://arstechnica.com/gadgets/2026/01/high-ram-prices-mean-record-setting-profits-for-samsung-and-other-memory-makers/,SK Hynix and Micron are also riding high on the AI industry's demand for RAM.,2026-01-08 20:36:37+00:00
Wired,Why Are Grok and X Still Available in App Stores?,"Thu, 08 Jan 2026 20:25:32 +0000",Caroline Haskins,https://www.wired.com/story/x-grok-app-store-nudify-csam-apple-google-content-moderation/,Elon Musk’s chatbot has been used to generate thousands of sexualized images of adults and apparent minors. Apple and Google have removed other “nudify” apps—but continue to host X and Grok.,2026-01-08 20:25:32+00:00
Wired,MAGA Is Already Rewriting the ICE Shooting in Minneapolis,"Thu, 08 Jan 2026 20:17:12 +0000",David Gilbert,https://www.wired.com/story/maga-trump-rewriting-ice-shooting-minneapolis/,The federal government’s narrative of the Minneapolis shooting conflicts wildly with video footage of the incident shared online.,2026-01-08 20:17:12+00:00
Wired,"The 70 Best Movies on Disney+, WIRED’s Picks (January 2026)","Thu, 08 Jan 2026 20:00:00 +0000","Jennifer M. Wood, WIRED Staff",https://www.wired.com/story/best-movies-disney-plus/,"Tron: Ares, Indiana Jones and the Raiders of the Lost Ark, and Taylor Swift: The Eras Tour—The Final Show are just a few of the movies you should be watching on Disney+ this month.",2026-01-08 20:00:00+00:00
